Event Number,Agency,Dispatch Time,Area,Location,City,Description,Date
24077578,MTRO,00:21:55,4EUG,58 W 11TH AVE,EUG,MEDICAL RESPONSE,2024-03-24
24077648,MTRO,02:15:11,4EUG,720 SAND AVE,EUG,MEDICAL RESPONSE,2024-03-24
24077663,MTRO,02:55:02,4EUG,1185 W 7TH AVE,EUG,ACCIDENT BIKE,2024-03-24
24077666,MTRO,02:56:20,4EUG,1881 HIGH ST,EUG,MEDICAL RESPONSE,2024-03-24
24077684,MTRO,03:57:01,4EUG,1282 GOODPASTURE ISLAND RD,EUG,MEDICAL RESPONSE,2024-03-24
24077699,MTRO,04:41:07,4EUG,599 E BROADWAY,EUG,MEDICAL RESPONSE,2024-03-24
24077702,MTRO,04:49:18,4LFU,397 RUBY AVE,EUG,MEDICAL RESPONSE,2024-03-24
24077704,MTRO,04:59:01,4EUG,1700 ADKINS ST,EUG,MEDICAL RESPONSE,2024-03-24
24077714,MTRO,06:36:51,4EUG,450 HWY 99N,EUG,MEDICAL RESPONSE,2024-03-24
24077721,MTRO,07:21:17,4EUG,360 W 28TH AVE,EUG,MEDICAL RESPONSE,2024-03-24
24077727,MTRO,07:30:02,4EUG,1235 ECHO HOLLOW RD,EUG,MEDICAL RESPONSE,2024-03-24
24077739,MTRO,08:01:01,4EUG,787 N TERRY ST,EUG,MEDICAL RESPONSE,2024-03-24
24077743,MTRO,08:13:56,4EUG,1475 GREEN ACRES RD,EUG,MEDICAL RESPONSE,2024-03-24
24077748,MTRO,08:22:30,4EUG,2360 CHAMBERS ST,EUG,MEDICAL RESPONSE,2024-03-24
24077755,MTRO,08:37:07,4EUG,1235 ECHO HOLLOW RD,EUG,MEDICAL RESPONSE,2024-03-24
24077760,MTRO,08:55:27,4EUG,494 W 10TH AVE,EUG,MEDICAL RESPONSE,2024-03-24
24077767,MTRO,08:58:41,4EUG,1200-BLK CHARNELTON ST,EUG,ASSIST CAHOOTS,2024-03-24
24077776,MTRO,09:15:11,4EUG,323 E 12TH AVE,EUG,MEDICAL RESPONSE,2024-03-24
24077779,MTRO,09:18:39,4EUG,600 WATERFORD WAY,EUG,MEDICAL RESPONSE,2024-03-24
24077787,RFD,09:26:49,4EUG,1200-BLK CHARNELTON ST,EUG,ASSIST CAHOOTS,2024-03-24
24077796,MTRO,09:37:16,4EUG,1845 MANIHI DR,EUG,MEDICAL RESPONSE,2024-03-24
24077821,MTRO,10:19:04,4EUG,1542 W 1ST AVE,EUG,MEDICAL RESPONSE,2024-03-24
24077824,MTRO,10:22:19,4EUG,2440 WILLAKENZIE RD,EUG,MEDICAL RESPONSE,2024-03-24
24077827,MTRO,10:27:24,4EUG,389 W 29TH AVE,EUG,FIRE ALARM,2024-03-24
24077832,MTRO,10:32:37,4EUG,457 W 8TH AVE,EUG,MEDICAL RESPONSE,2024-03-24
24077839,MTRO,10:50:28,4EUG,175-BLK S GARDEN WAY,EUG,TRASH BIN FIRE,2024-03-24
24077841,MTRO,10:52:11,4EUG,450 HWY 99N,EUG,MEDICAL RESPONSE,2024-03-24
24077843,MTRO,10:55:33,8EUG,HWY 99N/PRAIRIE RD,EUG,MOTOR VEH ACC UNKNOWN INJ,2024-03-24
24077848,MTRO,10:56:56,4EUG,5175 TREVON ST,EUG,MEDICAL RESPONSE,2024-03-24
24077854,MTRO,11:04:28,4EUG,30 E 33RD AVE,EUG,FIRE ALARM,2024-03-24
24077889,MTRO,12:00:25,4EUG,1060 VALLEY RIVER WAY,EUG,MEDICAL RESPONSE,2024-03-24
24077890,RFD,12:01:14,4LFU,739 BEACON DR,EUG,MEDICAL RESPONSE,2024-03-24
24077897,MTRO,12:11:24,4EUG,2988 OAK ST,EUG,MEDICAL RESPONSE,2024-03-24
24077901,MTRO,12:18:12,4X,90064 COBURG RD,EUG,MEDICAL RESPONSE,2024-03-24
24077902,MTRO,12:19:37,4EUG,1356 WASHINGTON ST,EUG,FLUE FIRE,2024-03-24
24077938,RFD,12:57:26,4EUG,871 W 8TH AVE,EUG,MEDICAL RESPONSE,2024-03-24
24077936,MTRO,12:57:28,4EUG,871 W 8TH AVE,EUG,MEDICAL RESPONSE,2024-03-24
24077978,MTRO,13:52:11,4EUG,1080 VALLEY RIVER WAY,EUG,MEDICAL RESPONSE,2024-03-24
24078008,MTRO,14:49:35,4EUG,605 W 4TH AVE,EUG,ASSIST CAHOOTS,2024-03-24
24078013,MTRO,14:59:37,4EUG,437 TOKATEE DR,EUG,MEDICAL RESPONSE,2024-03-24
24078041,MTRO,15:42:09,4EUG,350 PEARL ST,EUG,MEDICAL RESPONSE,2024-03-24
24078062,MTRO,16:20:20,4EUG,511 PROXY LN,EUG,MEDICAL RESPONSE,2024-03-24
24078092,MTRO,17:12:52,4EUG,1166 E 28TH AVE,EUG,MEDICAL RESPONSE,2024-03-24
24078096,MTRO,17:15:47,4EUG,W 6TH AVE/TAYLOR ST,EUG,MEDICAL RESPONSE,2024-03-24
24078107,MTRO,17:36:09,4EUG,2930 SUMMIT SKY BLVD,EUG,MEDICAL RESPONSE,2024-03-24
24078126,MTRO,17:57:23,4EUG,1752 W 34TH PL,EUG,MEDICAL RESPONSE,2024-03-24
24078137,MTRO,18:03:47,4EUG,1665 OAK PATCH RD,EUG,MEDICAL RESPONSE,2024-03-24
24078122,MTRO,18:11:36,4EUG,111 MONROE ST,EUG,ASSAULT WITH INJURY,2024-03-24
24078122,MTRO,18:11:36,4EUG,111 MONROE ST,EUG,MEDICAL RESPONSE,2024-03-24
24078145,MTRO,18:13:45,4EUG,911-1/2 W 1ST AVE,EUG,MEDICAL RESPONSE,2024-03-24
24078149,MTRO,18:20:15,4EUG,1699-BLK HAVITURE WAY,EUG,MEDICAL RESPONSE,2024-03-24
24078171,MTRO,19:03:56,4EUG,W 11TH AVE/LAWRENCE ST,EUG,OUTSIDE GAS LEAK,2024-03-24
24078174,MTRO,19:04:41,4EUG,585 BETTY NIVEN DR,EUG,PUBLIC ASSIST- FIRE/EMS,2024-03-24
24078188,MTRO,19:23:36,4EUG,753 SPYGLASS DR,EUG,MEDICAL RESPONSE,2024-03-24
24078189,MTRO,19:27:18,4EUG,930 WESTSPRINGS DR,EUG,FIRE ALARM,2024-03-24
24078199,MTRO,19:42:05,4EUG,4725 BARGER DR,EUG,MEDICAL RESPONSE,2024-03-24
24078209,RFD,20:01:39,5PGG,34952 HWY 58,EUG,MEDICAL RESPONSE,2024-03-24
24078210,MTRO,20:01:39,5PGG,34952 HWY 58,EUG,MEDICAL RESPONSE,2024-03-24
24078230,MTRO,20:32:12,4EUG,750 WOODLEAF LN,EUG,MEDICAL RESPONSE,2024-03-24
24078242,MTRO,21:01:47,4EUG,MARSHALL AVE/TAFT ST,EUG,MEDICAL RESPONSE,2024-03-24
24078253,MTRO,21:19:59,4EUG,W 8TH ALY/OLIVE ST,EUG,MEDICAL RESPONSE,2024-03-24
24078261,RFD,21:30:21,8AIR,90454 BOEING DR,EUG,MEDICAL RESPONSE,2024-03-24
24078264,MTRO,21:36:34,4EUG,600 WATERFORD WAY,EUG,MEDICAL RESPONSE,2024-03-24
24078274,MTRO,21:54:11,5GLW,4215 FRANKLIN BLVD,EUG,MEDICAL RESPONSE,2024-03-24
24078290,MTRO,22:26:53,4EUG,3500 HILYARD ST,EUG,MEDICAL RESPONSE,2024-03-24
24078296,MTRO,22:40:52,8EUG,MAXWELL RD/PRAIRIE RD,EUG,ACCIDENT BIKE,2024-03-24
24078304,MTRO,23:05:01,4EUG,101 W 5TH AVE,EUG,MEDICAL RESPONSE,2024-03-24
24078311,MTRO,23:09:22,4EUG,300 FREDERICK CT,EUG,MEDICAL RESPONSE,2024-03-24
24078318,RFD,23:20:43,4LFU,188 LYNNBROOK DR,EUG,MEDICAL RESPONSE,2024-03-24
24078321,MTRO,23:20:44,4LFU,188 LYNNBROOK DR,EUG,MEDICAL RESPONSE,2024-03-24
24078339,MTRO,00:20:43,4EUG,240 WASHINGTON ST,EUG,TRASH BIN FIRE,2024-03-25
24078346,MTRO,00:38:16,4EUG,1424 OAK PATCH RD,EUG,MEDICAL RESPONSE,2024-03-25
24078348,MTRO,00:40:55,4EUG,1545 CITY VIEW ST,EUG,MEDICAL RESPONSE,2024-03-25
24078356,MTRO,01:09:21,4EUG,4800 BARGER DR,EUG,MEDICAL RESPONSE,2024-03-25
24078362,RFD,01:29:24,8EUG,1075 IRVINGTON DR,EUG,MEDICAL RESPONSE,2024-03-25
24078363,MTRO,01:34:42,4EUG,3824 PATTISON ST,EUG,MEDICAL RESPONSE,2024-03-25
24078365,MTRO,01:40:46,4EUG,1445 TAYLOR ST,EUG,MEDICAL RESPONSE,2024-03-25
24078368,MTRO,01:54:45,4EUG,2455 W 22ND AVE,EUG,MEDICAL RESPONSE,2024-03-25
24078387,MTRO,03:11:55,4EUG,100 RIVER AVE,EUG,MEDICAL RESPONSE,2024-03-25
24078392,MTRO,03:45:34,4EUG,2615 LONE OAK WAY,EUG,MEDICAL RESPONSE,2024-03-25
24078398,MTRO,04:36:13,8AIR,90454 BOEING DR,EUG,MEDICAL RESPONSE,2024-03-25
24078407,RFD,04:42:52,8AIR,90454 BOEING DR,EUG,MEDICAL RESPONSE,2024-03-25
