Event Number,Agency,Dispatch Time,Area,Location,City,Description,Date
24077575,RFD,00:18:51,6SOL,735 S 2ND ST,CRE,MEDICAL RESPONSE,2024-03-24
24077578,MTRO,00:21:55,4EUG,58 W 11TH AVE,EUG,MEDICAL RESPONSE,2024-03-24
24077588,MTRO,00:37:26,5SPR,2770 GATEWAY ST,SPR,MEDICAL RESPONSE,2024-03-24
24077598,RFD,00:50:14,5PGP,83199 PAPENFUS RD,PLE,MEDICAL RESPONSE,2024-03-24
24077599,MTRO,00:50:14,5PGP,83199 PAPENFUS RD,PLE,MEDICAL RESPONSE,2024-03-24
24077616,RFD,01:02:34,6X,73451 LONDON RD,COT,MEDICAL RESPONSE,2024-03-24
24077613,MTRO,01:07:20,5SPR,6931 JESSICA DR,SPR,ASSIST POLICE,2024-03-24
24077625,MTRO,01:32:17,5SPR,735 I105 EB,SPR,MOTOR VEH ACC UNKNOWN INJ,2024-03-24
24077641,MTRO,02:03:47,5SPR,475 LINDALE DR,SPR,MEDICAL RESPONSE,2024-03-24
24077648,MTRO,02:15:11,4EUG,720 SAND AVE,EUG,MEDICAL RESPONSE,2024-03-24
24077663,MTRO,02:55:02,4EUG,1185 W 7TH AVE,EUG,ACCIDENT BIKE,2024-03-24
24077666,MTRO,02:56:20,4EUG,1881 HIGH ST,EUG,MEDICAL RESPONSE,2024-03-24
24077670,MTRO,03:04:30,5SPR,183 Q ST,SPR,TRASH BIN FIRE,2024-03-24
24077674,RFD,03:13:42,5PGP,86500 R R BAKER RD,SPR,MEDICAL RESPONSE,2024-03-24
24077676,MTRO,03:13:44,5PGP,86500 R R BAKER RD,SPR,MEDICAL RESPONSE,2024-03-24
24077680,MTRO,03:26:21,5SPR,615 S 41ST CT,SPR,PUBLIC ASSIST- FIRE/EMS,2024-03-24
24077681,RFD,03:40:09,6SOL,1515 VILLAGE DR,COT,MEDICAL RESPONSE,2024-03-24
24077683,MTRO,03:52:53,5SPR,2728 PHEASANT BLVD,SPR,FIRE ALARM,2024-03-24
24077684,MTRO,03:57:01,4EUG,1282 GOODPASTURE ISLAND RD,EUG,MEDICAL RESPONSE,2024-03-24
24077694,MTRO,04:28:06,5SPR,770 HARLOW RD,SPR,MEDICAL RESPONSE,2024-03-24
24077699,MTRO,04:41:07,4EUG,599 E BROADWAY,EUG,MEDICAL RESPONSE,2024-03-24
24077702,MTRO,04:49:18,4LFU,397 RUBY AVE,EUG,MEDICAL RESPONSE,2024-03-24
24077704,MTRO,04:59:01,4EUG,1700 ADKINS ST,EUG,MEDICAL RESPONSE,2024-03-24
24077707,MTRO,05:17:49,5SPR,1920 OLYMPIC ST,SPR,MEDICAL RESPONSE,2024-03-24
24077711,RFD,05:54:23,6SOL,35300 SHOREVIEW DR,DOR,MEDICAL RESPONSE,2024-03-24
24077714,MTRO,06:36:51,4EUG,450 HWY 99N,EUG,MEDICAL RESPONSE,2024-03-24
24077718,RFD,07:07:52,8JCF,1121 QUINCE DR,JUN,MEDICAL RESPONSE,2024-03-24
24077721,MTRO,07:21:17,4EUG,360 W 28TH AVE,EUG,MEDICAL RESPONSE,2024-03-24
24077727,MTRO,07:30:02,4EUG,1235 ECHO HOLLOW RD,EUG,MEDICAL RESPONSE,2024-03-24
24077731,MTRO,07:47:51,5SPR,3397 AMBLESIDE DR,SPR,ASSIST POLICE,2024-03-24
24077739,MTRO,08:01:01,4EUG,787 N TERRY ST,EUG,MEDICAL RESPONSE,2024-03-24
24077740,RFD,08:03:09,6SOL,34321 WALNUT LN,CRE,MEDICAL RESPONSE,2024-03-24
24077743,MTRO,08:13:56,4EUG,1475 GREEN ACRES RD,EUG,MEDICAL RESPONSE,2024-03-24
24077744,MTRO,08:14:39,5RAB,2455 SHADYLANE DR,SPR,MEDICAL RESPONSE,2024-03-24
24077748,MTRO,08:22:30,4EUG,2360 CHAMBERS ST,EUG,MEDICAL RESPONSE,2024-03-24
24077752,MTRO,08:29:30,5SPR,HARLOW RD/PHEASANT BLVD,SPR,TRASH BIN FIRE,2024-03-24
24077755,MTRO,08:37:07,4EUG,1235 ECHO HOLLOW RD,EUG,MEDICAL RESPONSE,2024-03-24
24077763,MTRO,08:53:48,5RAB,2768 6TH ST,SPR,MEDICAL RESPONSE,2024-03-24
24077760,MTRO,08:55:27,4EUG,494 W 10TH AVE,EUG,MEDICAL RESPONSE,2024-03-24
24077765,RFD,08:56:11,5CBF,1 SERENITY LN,COB,MEDICAL RESPONSE,2024-03-24
24077766,MTRO,08:56:11,5CBF,1 SERENITY LN,COB,MEDICAL RESPONSE,2024-03-24
24077767,MTRO,08:58:41,4EUG,1200-BLK CHARNELTON ST,EUG,ASSIST CAHOOTS,2024-03-24
24077769,RFD,09:02:37,8LFA,91297 KIRK RD,JUN,MEDICAL RESPONSE,2024-03-24
