yr,service,inci_id,calltime,case_id,callsource,nature,closecode,closed_as,secs_to_disp,secs_to_arrv,secs_to_close,disp,arrv,beat,priority,zip,primeunit,units_dispd,units_arrived,agency
2024,OTHR,24077568,2024-03-24 00:01:35,,PHONE,"PUBLIC ASSIST, CAHOOTS",ASST,ASSISTED,7023.0,7253.0,12210,1,1,EP05,7,97402,CAHOOT,1,1,CAHOOTS
2024,LAW ,24077570,2024-03-24 00:06:51,2404277.0,PHONE,PROWLER,ARR ,ARREST,156.0,264.0,3590,1,1,EP02,3,97401,5E26  ,3,3,EPD
2024,OTHR,24077571,2024-03-24 00:09:59,,W911,"ASSIST PD, CAHOOTS",DIS ,DISREGARD,,,759,0,0,EP06,5,97404,,0,0,EPD
2024,LAW ,24077572,2024-03-24 00:12:35,,SELF,FLAGGED DOWN,RSLV,RESOLVED,0.0,0.0,74,1,1,EP02,6,97401,4F74  ,2,2,EPD
2024,LAW ,24077574,2024-03-24 00:13:31,,SELF,TRAFFIC STOP,UTC ,UNIFORM TRAFFIC CITATION ISSUED,0.0,0.0,919,1,1,EP05,6,97402,4T88  ,1,1,EPD
2024,LAW ,24077580,2024-03-24 00:20:57,,PHONE,BEAT INFORMATION,INFO,INFORMATION ONLY,253.0,,256,1,0,EP07,5,97401,4E15  ,1,1,EPD
2024,LAW ,24077581,2024-03-24 00:21:02,,PHONE,ILLEGAL BURNING,GOA ,GONE ON ARRIVAL,3278.0,,3280,1,0,EP02,5,97401,4E18  ,1,1,EPD
2024,LAW ,24077582,2024-03-24 00:23:06,,PHONE,DISORDERLY SUBJECT,ASST,ASSISTED,27.0,130.0,2607,1,1,EP02,3,97401,4F74  ,2,2,EPD
2024,LAW ,24077587,2024-03-24 00:34:03,,SELF,TRAFFIC STOP,FI  ,FIELD INVESTIGATION,0.0,0.0,1017,1,1,EP04,6,97402,6E67  ,1,1,EPD
2024,LAW ,24077592,2024-03-24 00:45:37,,SELF,FLAGGED DOWN,RSLV,RESOLVED,0.0,0.0,1251,1,1,EP02,6,97401,6E39  ,2,2,EPD
