Map,Call Time,Dispatch Time,Incident Desc,Disposition,Event Number,Location,Priority,Case,Date
,03/24/2025 11:51:01 PM,03/24/2025 11:58:10 PM,Criminal Trespass,RESOLVED,25076523,"454 WILLAMETTE ST, EUG",4,,03/24/2025
,03/24/2025 11:40:14 PM,03/24/2025 11:43:50 PM,Shot(s) Fired,PATROL CHECK,25076515,"HWY 99N/PRAIRIE RD, EUG",3,,03/24/2025
,03/24/2025 11:31:47 PM,03/25/2025 12:03:56 AM,Criminal Trespass,GONE ON ARRIVAL,25076513,"1070 W 6TH AVE, EUG",6,,03/24/2025
,03/24/2025 11:27:35 PM,03/24/2025 11:37:22 PM,Loud Noise,UNABLE TO LOCATE,25076509,"W 10TH AVE/LAWRENCE ST, EUG",5,,03/24/2025
,03/24/2025 11:07:37 PM,03/24/2025 11:07:47 PM,Request Cover,NON CRIMINAL HOLD,25076492,"931 W 7TH AVE, EUG",P,2504742,03/24/2025
,03/24/2025 10:55:16 PM,03/24/2025 11:38:55 PM,Criminal Trespass,GONE ON ARRIVAL,25076478,"957 HILYARD ST, EUG",4,,03/24/2025
,03/24/2025 10:50:55 PM,03/25/2025 08:08:58 AM,Burglary,UNABLE TO LOCATE,25076470,"1455 BAILEY HILL RD, EUG",4,,03/24/2025
,03/24/2025 10:46:46 PM,03/24/2025 10:51:26 PM,Warrant Service,CITED IN LIEU OF CUSTODY,25076466,"2659 OLYMPIC ST, SPR",6,,03/24/2025
,03/24/2025 10:34:25 PM,03/24/2025 10:48:01 PM,Criminal Trespass,RESOLVED,25076458,"640 W 7TH AVE, EUG",4,,03/24/2025
,03/24/2025 10:33:03 PM,03/24/2025 10:33:04 PM,Traffic Stop,WARNING,25076457,"E BROADWAY/PATTERSON ST, EUG",6,,03/24/2025
,03/24/2025 10:29:13 PM,03/24/2025 10:32:24 PM,Prowler(s),UNABLE TO LOCATE,25076453,"525 FAIR OAKS DR, EUG",3,,03/24/2025
,03/24/2025 10:26:56 PM,03/24/2025 10:31:13 PM,Traffic Hazard,RESOLVED,25076451,"950 BELTLINE WB, EUG",3,,03/24/2025
,03/24/2025 10:06:57 PM,03/24/2025 10:21:59 PM,Suspicious Subject(s),RESOLVED,25076439,"4770 ROYAL AVE, EUG",3,,03/24/2025
,03/24/2025 10:05:54 PM,03/24/2025 10:19:19 PM,Illegal Burning,PATROL CHECK,25076437,"MANCHESTER DR/OLD COBURG RD, EUG",5,,03/24/2025
